model,temporal_bin,phase_start,phase_end,phase_center,day_start,day_end,day_center,observed_count,expected_count,raw_residual,mean_pearson_residual,pearson_residual_sd
Linear IPPP,1,0.0,0.08333333333333333,0.041666666666666664,1,30,16,1.0,12.652488708496094,-11.652488708496094,-0.03990868106484413,0.2953926622867584
Linear IPPP,2,0.08333333333333333,0.16666666666666666,0.125,31,60,47,0.0,15.760541915893555,-15.760541915893555,-0.04904719814658165,0.023492055013775826
Linear IPPP,3,0.16666666666666666,0.25,0.20833333333333331,61,91,77,6.0,26.251235961914062,-20.25123405456543,-0.04535588622093201,0.6146024465560913
Linear IPPP,4,0.25,0.3333333333333333,0.29166666666666663,92,121,108,117.0,50.99645233154297,66.00354766845703,0.12080712616443634,1.9083561897277832
Linear IPPP,5,0.3333333333333333,0.4166666666666667,0.375,122,152,138,124.0,96.70922088623047,27.29078483581543,0.030879875645041466,1.2375028133392334
Linear IPPP,6,0.4166666666666667,0.5,0.45833333333333337,153,182,168,120.0,150.82139587402344,-30.82140350341797,-0.038010504096746445,1.0561497211456299
Linear IPPP,7,0.5,0.5833333333333334,0.5416666666666667,183,213,199,121.0,171.71658325195312,-50.716590881347656,-0.05849279463291168,1.0063763856887817
Linear IPPP,8,0.5833333333333334,0.6666666666666666,0.625,214,243,229,122.0,137.853271484375,-15.853275299072266,-0.020454635843634605,1.2702211141586304
Linear IPPP,9,0.6666666666666666,0.75,0.7083333333333333,244,273,260,121.0,82.763427734375,38.236572265625,0.032110899686813354,1.5120409727096558
Linear IPPP,10,0.75,0.8333333333333334,0.7916666666666667,274,304,290,92.0,42.603790283203125,49.396202087402344,0.10001195222139359,1.8626556396484375
Linear IPPP,11,0.8333333333333334,0.9166666666666666,0.875,305,334,321,1.0,22.465723037719727,-21.465723037719727,-0.05614236369729042,0.178308367729187
Linear IPPP,12,0.9166666666666666,1.0,0.9583333333333333,335,365,351,0.0,14.405397415161133,-14.405397415161133,-0.046891193836927414,0.022459397092461586
Nonlinear IPPP,1,0.0,0.08333333333333333,0.041666666666666664,1,30,16,1.0,4.614707946777344,-3.6147079467773438,-0.022326389327645302,0.18227359652519226
Nonlinear IPPP,2,0.08333333333333333,0.16666666666666666,0.125,31,60,47,0.0,5.919404983520508,-5.919404983520508,-0.02800489217042923,0.018069781363010406
Nonlinear IPPP,3,0.16666666666666666,0.25,0.20833333333333331,61,91,77,6.0,11.504436492919922,-5.504436016082764,-0.01329705398529768,0.9381964206695557
Nonlinear IPPP,4,0.25,0.3333333333333333,0.29166666666666663,92,121,108,117.0,72.39059448242188,44.60940170288086,0.045094382017850876,1.249220848083496
Nonlinear IPPP,5,0.3333333333333333,0.4166666666666667,0.375,122,152,138,124.0,99.04012298583984,24.959871292114258,0.013488780707120895,1.0347000360488892
Nonlinear IPPP,6,0.4166666666666667,0.5,0.45833333333333337,153,182,168,120.0,103.81514739990234,16.184856414794922,-0.002704288111999631,0.9757503271102905
Nonlinear IPPP,7,0.5,0.5833333333333334,0.5416666666666667,183,213,199,121.0,98.67817687988281,22.321821212768555,-0.004749174229800701,0.967871904373169
Nonlinear IPPP,8,0.5833333333333334,0.6666666666666666,0.625,214,243,229,122.0,103.53504943847656,18.464946746826172,0.0008386511472053826,1.1637870073318481
Nonlinear IPPP,9,0.6666666666666666,0.75,0.7083333333333333,244,273,260,121.0,96.18644714355469,24.813552856445312,0.0016013267450034618,1.0251703262329102
Nonlinear IPPP,10,0.75,0.8333333333333334,0.7916666666666667,274,304,290,92.0,57.74443817138672,34.25556182861328,0.032258953899145126,1.1927748918533325
Nonlinear IPPP,11,0.8333333333333334,0.9166666666666666,0.875,305,334,321,1.0,7.783984184265137,-6.783984184265137,-0.029318273067474365,0.24963374435901642
Nonlinear IPPP,12,0.9166666666666666,1.0,0.9583333333333333,335,365,351,0.0,4.415098667144775,-4.415098667144775,-0.024306979030370712,0.01541670598089695
